symbol,date,marketcap
BSFT,2015-03-31,1033
BSGM,2015-03-31,36
BSHF,2015-03-31,3
BSIG,2015-03-31,2277
BSM,2015-03-31,3480
BSPM,2015-03-31,20
BSQR,2015-03-31,52
BSRC,2015-03-31,1
BSRR,2015-03-31,229
BSTC,2015-03-31,262
BSTG,2015-03-31,30
BSX,2015-03-31,23405
BTE,2015-03-31,2908
BTH,2015-03-31,124
BTHE,2015-03-31,7
BTN,2015-03-31,65
BTTGY,2015-03-31,56796
BTUUQ,2015-03-31,1317
BUR,2015-03-31,74
BURL,2015-03-31,3825
BUSE,2015-03-31,561
BV1,2015-03-31,467
BVA,2015-03-31,26
BVSN,2015-03-31,29
BWA,2015-03-31,13545
BWEN,2015-03-31,67
BWFG,2015-03-31,136
BWL.A,2015-03-31,76
BWLD,2015-03-31,3217
BWP,2015-03-31,4085
BWXT,2015-03-31,3656
BX,2015-03-31,22049
BXC,2015-03-31,98
BXMT,2015-03-31,2111
BXP,2015-03-31,20796
BXS,2015-03-31,2289
BYBK,2015-03-31,58
BYD,2015-03-31,1520
BYFC,2015-03-31,39
BYLK,2015-03-31,115
BYRN,2015-03-31,17
BZC,2015-03-31,107
BZH,2015-03-31,484
C,2015-03-31,160028
CA,2015-03-31,14167
CAA,2015-03-31,2355
CAAS,2015-03-31,238
CAB,2015-03-31,4072
CAC,2015-03-31,290
CACB,2015-03-31,350
CACC,2015-03-31,4239
CACI,2015-03-31,2170
CACQ,2015-03-31,1012
CAE,2015-03-31,3191
CAG,2015-03-31,15230
CAGZ,2015-03-31,13
CAH,2015-03-31,28890
CAI,2015-03-31,493
CAKE,2015-03-31,2468
CAL,2015-03-31,1354
CALA,2015-03-31,262
CALD,2015-03-31,709
CALI,2015-03-31,6
CALL,2015-03-31,124
CALM,2015-03-31,1840
CALX,2015-03-31,403
CAM,2015-03-31,9424
CAMB,2015-03-31,105
CAMP,2015-03-31,649
CAPL,2015-03-31,789
CAPR,2015-03-31,122
CAR,2015-03-31,5980
CARA,2015-03-31,228
CARB,2015-03-31,332
CARO,2015-03-31,111
CARV,2015-03-31,19
CASC,2015-03-31,162
CASH,2015-03-31,267
CASI,2015-03-31,47
CASLQ,2015-03-31,90
CASM,2015-03-31,35
CASS,2015-03-31,618
CASY,2015-03-31,3472
CAT,2015-03-31,51493
CATM,2015-03-31,1689
CATO,2015-03-31,1089
CATS,2015-03-31,47
CATY,2015-03-31,2289
CAVM,2015-03-31,3769
CAW,2015-03-31,23
CB,2015-03-31,35890
CB1,2015-03-31,23074
CBAI,2015-03-31,3
CBAN,2015-03-31,69
CBAT,2015-03-31,43
CBAY,2015-03-31,75
CBB,2015-03-31,723
CBBT,2015-03-31,5
CBDS,2015-03-31,51
CBF,2015-03-31,1307
CBFV,2015-03-31,81
CBI,2015-03-31,5321
CBIO,2015-03-31,89
CBKC,2015-03-31,193
CBKM,2015-03-31,49
CBL,2015-03-31,3212
CBLI,2015-03-31,11
CBM,2015-03-31,1200
CBMG,2015-03-31,331
